k他	盘他
常式	例程
平治	奔驰
年度檢討	年度总结
年畫	年画
幼稺園	幼儿园
幽默畫	幽默画
幾內亞比索	几内亚比绍
幾內亞比紹	几内亚比绍
幾畫	几画
庫洛魔灋使	魔卡少女樱
康樂股長	文艺委员
延長賽	加时赛
弱鹼	弱碱
強尼走路	尊尼获加
彩畫	彩画
復選題	多选题
忌廉	奶油
快打旋風	街头霸王
快打旋風	街霸
快速面	方便面
快閃記憶體	快闪存储器
感測	传感
愽愛座	老弱病残孕专座
戶口名簿	户口本
所畫	所画
所羅門群島	所罗门群岛
扉畫	扉画
手電筒	手电
打印機	打印机
打屁	唠嗑
打電動	打游戏
把妹	撩妹
括弧	括号
拿破崙	拿破仑
指畫	指画
捷運	地铁
掃瞄器	扫瞄仪
控制項	控件
描畫	描画
插畫	插画
撞毬	台球
撞球	台球
擘畫	擘画
攜帶型	便携式
教廷	梵蒂冈
教畫	教画
散钱	零钱
數位	数码
數據機	调制解调器
數碼	数码
文灋	语法
斯威士蘭	斯威士兰
斯洛文尼亞	斯洛文尼亚
斯洛維尼亞	斯洛文尼亚
新西蘭	新西兰
易開鑵	易拉罐
星海爭覇	星际争霸
春畫	春画
晶元	芯片
晶片	芯片
智慧手機	智能手机
暴走兄弟	四驱兄弟
曲棍毬	冰球
書畫	书画
書畫社	书画社
木刻畫	木刻画
李奧納多·迪卡皮歐	李奥纳多·迪卡普里奥
查德	乍得
柯林頓	克林顿
格林納達	格林纳达
格瑞那達	格林纳达
格魯吉亞	乔治亚
梵蒂岡	梵蒂冈
梵谷	凡高
楳麗·史翠普	梅丽尔·斯特里普
極地戰嚎	孤岛惊魂
槕毬	乒乓球
模里西斯	毛里求斯
機器人	机器人
機架	捷豹
機械人	机器人
機械畫	机械画
檔案夾	文件夹
欄位	字段
歐巴馬	奥巴马
正體	原件
母音	元音
比畫	比画
毛筆畫	毛笔画
毛里塔尼亞	毛里塔尼亚
毛里裘斯	毛里求斯
水粉畫	水粉画
水鹼	水碱
永曆	永历
汶萊	文莱
決勝時刻	使命召唤
沙地阿拉伯	沙特阿拉伯
沙拉油	色拉油
沙烏地阿拉伯	沙特阿拉伯
沙芬	马拉特·萨芬
油畫	油画
泡麵	方便面
波士尼亞赫塞哥維納	波斯尼亚和黑塞哥维那
波斯尼亞黑塞哥維那	波斯尼亚和黑塞哥维那
波札那	博茨瓦纳
洋將	外援
洋芋片	土豆片
洋鹼	洋碱
津巴布韋	津巴布韦
流動電話	移动电话
海景畫	海景画
海珊	萨达姆
淩志	雷克萨斯
游標	光标
湯姆貓咊傑利鼠	猫和老鼠
溫納圖	瓦努阿图
滑鼠	鼠标
滷鹼	卤碱
演算法	算法
漫畫	漫画
潛龍諜影	合金装备
灣家	怒喷
炭畫	炭画
烏茲別克	乌兹别克斯坦
無限	英菲尼迪
片語	词组
版畫	版画
特立尼達和多巴哥	特立尼达和托巴哥
狗隻	犬只
班導	班主任
瑙魯	瑙鲁
瓜地馬拉	危地马拉
瓦努阿圖	瓦努阿图
瓦斯爐	燃气灶
甘比亞	冈比亚
畢卡索	毕加索
畫一	画一
畫上	画上
畫下	画下
畫中	画中
畫供	画供
畫像	画像
畫兒	画儿
畫具	画具
畫冊	画册
畫出	画出
畫刊	画刊
畫匠	画匠
畫史	画史
畫品	画品
畫商	画商
畫圈	画圈
畫圖	画图
畫報	画报
畫境	画境
畫壇	画坛
畫室	画室
畫家	画家
畫屏	画屏
畫展	画展
畫工	画工
畫布	画布
畫帖	画帖
畫師	画师
畫幅	画幅
畫廊	画廊
畫意	画意
畫成	画成
畫押	画押
畫捲	画卷
畫景	画景
畫本	画本
畫板	画板
畫架	画架
畫框	画框
畫法	画法
畫片	画片
畫王	画王
畫界	画界
畫畫	画画
畫皮	画皮
畫眉鳥	画眉鸟
畫稿	画稿
畫符	画符
畫筆	画笔
畫紙	画纸
畫線	画线
畫航	画航
畫舫	画舫
畫虎	画虎
畫論	画论
畫譜	画谱
畫象	画象
畫貼	画贴
畫質	画质
畫軸	画轴
畫院	画院
畫集	画集
畫面	画面
畫頁	画页
當掉	挂科
痠民	喷子
痠民	键盘侠
登入	登录
登出	退出
的士	出租车
盧安達	卢旺达
盧旺達	卢旺达
直排輪	轮滑
短訊	短信
矽片	硅片
矽谷	硅谷
硬碟	硬盘
硬體	硬件
碟片	盘片
磁畫	磁画
磁碟	磁盘
磁軌	磁道
神劍闖江湖	浪客剑心
神奇寶貝	宠物小精灵
神奇寶貝	精灵宝可梦
神隱少女	千与千寻
福士	大众
福斯	大众
秀逗	沙雕
科摩羅	科摩罗
科系	专业
程式控制	程控
積架	捷豹
穩單	单身狗
穿梭機	航天飞机
突尼西亞	突尼斯
章節附註	尾注
笨豬跳	蹦极跳
筆畫	笔画
等於	等于
策畫	策画
節慶	节日
簡訊	短信
米高奧雲	迈克尔·欧文
糢擬市民	模拟人生
紅利點數	积分
紐澤西	新泽西
紐西蘭	新西兰
索羅門群島	所罗门群岛
索馬利亞	索马里
索馬里	索马里
細密畫	细密画
組畫	组画
絹畫	绢画
維德角	佛得角
網絡	网络
網路	网络
網際網路	因特网
總量經濟	宏观经济
繪畫	绘画
绑紧跳	蹦极跳
義大利	意大利
翡冷翠	佛罗伦萨
翻來覆去	翻来覆去
老撾	老挝
耐鹼	耐碱
聖克里斯多福及尼維斯	圣基茨和尼维斯
聖吉斯納域斯	圣基茨和尼维斯
聖文森及格瑞那丁	圣文森特和格林纳丁斯
聖文森特和格林納丁斯	圣文森特和格林纳丁斯
聖盧西亞	圣卢西亚
聖露西亞	圣卢西亚
聖馬利諾	圣马力诺
聖馬力諾	圣马力诺
聯考	高考
肉鹼	肉碱
股長	组长
肯亞	肯尼亚
肯雅	肯尼亚
膠畫	胶画
自由球	任意球
自畫像	自画像
舒麥加	迈克尔·舒马赫
芝士	乾酪
芭樂	番石榴
芲枝	墨鱼
芲椰菜	西蓝花
茅利塔尼亞	毛里塔尼亚
茶鹼	茶碱
草地曲棍毬	曲棍球
荒原路華	路虎
莫三比克	莫桑比克
萊索托	莱索托
萬事得	马自达
萬事悳	马自达
萬曆	万历
萬那杜	瓦努阿图
葉門	也门
著名	著名
葛摩	科摩罗
蒲亭	普京
蒲隆地	布隆迪
蒸餾酒	利口酒
蓋亞那	圭亚那
蓋火鍋	火锅盖帽
蓋火鍋	盖帽
蔴吉	老铁
薩達姆	萨达姆
藍寶堅尼	兰博基尼
蘇利南	苏里南
蠟筆畫	蜡笔画
行事歷	工作日历
行動電話	移动电话
行銷團隊	市场团队
衛生	卫生
衛生棉	卫生巾
衞生	卫生
衣索匹亞	埃塞俄比亚
衣索比亞	埃塞俄比亚
裸體畫	裸体画
西洋棊	国际象棋
西洋畫	西洋画
西畫	西画
覆蓋	覆盖
視訊	视频
解析度	分辨率
計程車	出租车
記憶體	内存
許可權	权限
說明檔案	帮助文件
課長	主管
調制解調器	调制解调器
諾魯	瑙鲁
讀研究所	读博
讀研究所	读研
變數	变量
谐星	笑星
象牙海岸	科特迪瓦
象牙海灣	科特迪瓦
豪格登	伏加白
貝克漢	贝克汉姆
貝南	贝宁
貝寧	贝宁
貝里斯	伯利兹
貼畫	贴画
資料庫	数据库
資訊理論	信息论
賓士	奔驰
賣畫	卖画
賴比瑞亞	利比里亚
賴索托	莱索托
贊比亞	赞比亚
超人力覇王	奥特曼
軟件	软件
軟碟機	软驱
軟體	软件
載入	加载
輔育院	少管所
辛巴威	津巴布韦
辛巴維	津巴布韦
辭彙	词汇
返鹼	返碱
迦納	加纳
迴圈	循环
透視畫	透视画
速覇陸	斯巴鲁
速食麵	方便面
進位	进制
進球	入球
運算元	算子
遮罩	屏蔽
邊緣禁地	无主之地
部落格	博客
鉅賈	巨商
銅版畫	铜版画
鋼彈	高达
錄影	录像
錘毬	门球
鍛鍾	锻锺
鍾鍛	锺锻
鐳射打印機	激光打印机
防寫	写保护
阿拉伯聯合大公國	阿拉伯联合酋长国
阿拉伯聯合酋長國	阿拉伯联合酋长国
隨身碟	U盘
雕畫	雕画
雜訊	噪声
雪棃	悉尼
雪鐵龍	雪铁龙
雷覇龍·詹姆士	勒布朗·詹姆斯
靜物畫	静物画
非同步	异步
音效卡	声卡
預設	默认
頭槌	头球
顆進球	粒入球
類比	模拟
顯著	显著
風紀股長	纪律委员
馬利共和國	马里共和国
馬爾他	马耳他
馬爾代夫	马尔代夫
馬爾地夫	马尔代夫
馬自達	马自达
馬鈴藷	土豆
高棉	柬埔寨
高麗菜	圆白菜
高麗菜	洋白菜
鬥陣特攻	守望先锋
鮪魚	金枪鱼
鮭魚	三文鱼
鹼基	碱基
鹼度	碱度
鹼水	碱水
鹼熔	碱熔
鹽鹼	盐碱
黛安娜	戴安娜
點畫	点画
點選	点击
點陣圖	位图
